Student Details,Book Name,Book Price,Stock Availability,Rating
V.Manjula,A Light in the ...,£51.77,In stock,Three
24AG1A05J1,Tipping the Velvet,£53.74,In stock,One
CSE,Soumission,£50.10,In stock,One
C,Sharp Objects,£47.82,In stock,Four
DA,Sapiens: A Brief History ...,£54.23,In stock,Five
NA,The Requiem Red,£22.65,In stock,One
NA,The Dirty Little Secrets ...,£33.34,In stock,Four
NA,The Coming Woman: A ...,£17.93,In stock,Three
NA,The Boys in the ...,£22.60,In stock,Four
NA,The Black Maria,£52.15,In stock,One
NA,Starving Hearts (Triangular Trade ...,£13.99,In stock,Two
NA,Shakespeare's Sonnets,£20.66,In stock,Four
NA,Set Me Free,£17.46,In stock,Five
NA,Scott Pilgrim's Precious Little ...,£52.29,In stock,Five
NA,Rip it Up and ...,£35.02,In stock,Five
NA,Our Band Could Be ...,£57.25,In stock,Three
NA,Olio,£23.88,In stock,One
NA,Mesaerion: The Best Science ...,£37.59,In stock,One
NA,Libertarianism for Beginners,£51.33,In stock,Two
NA,It's Only the Himalayas,£45.17,In stock,Two
